trial,owner,repo,api_type,response_time_ms,response_size_bytes,http_status
3,python,cpython,GraphQL,521.446,231,200
3,python,cpython,REST,489.591,6080,200
4,facebook,react,GraphQL,474.513,249,200
4,facebook,react,REST,733.344,6035,200
4,vuejs,vue,REST,528.32,5949,200
4,vuejs,vue,GraphQL,367.92,274,200
4,microsoft,vscode,GraphQL,444.158,223,200
4,microsoft,vscode,REST,510.284,6517,200
4,torvalds,linux,GraphQL,381.681,215,200
4,torvalds,linux,REST,401.012,5079,200
4,tensorflow,tensorflow,GraphQL,447.918,254,200
4,tensorflow,tensorflow,REST,532.625,6822,200
4,twbs,bootstrap,GraphQL,530.754,312,200
4,twbs,bootstrap,REST,416.035,6205,200
4,ohmyzsh,ohmyzsh,REST,545.977,6661,200
4,ohmyzsh,ohmyzsh,GraphQL,449.731,544,200
4,angular,angular,REST,470.648,6473,200
4,angular,angular,GraphQL,446.763,241,200
4,golang,go,GraphQL,529.285,219,200
4,golang,go,REST,467.602,6125,200
4,kubernetes,kubernetes,REST,591.224,6600,200
4,kubernetes,kubernetes,GraphQL,428.506,252,200
4,nodejs,node,GraphQL,420.135,243,200
4,nodejs,node,REST,531.061,6037,200
4,django,django,GraphQL,628.554,248,200
4,django,django,REST,407.961,6209,200
4,rails,rails,REST,427.463,5969,200
4,rails,rails,GraphQL,441.569,208,200
4,laravel,laravel,REST,501.358,6228,200
4,laravel,laravel,GraphQL,377.234,387,200
4,flutter,flutter,GraphQL,511.426,276,200
4,flutter,flutter,REST,506.341,6655,200
4,denoland,deno,REST,455.98,6161,200
4,denoland,deno,GraphQL,378.85,242,200
4,rust-lang,rust,REST,469.411,6264,200
4,rust-lang,rust,GraphQL,376.65,258,200
4,apple,swift,GraphQL,378.834,227,200
4,apple,swift,REST,1032.573,6249,200
4,libp2p,go-libp2p,GraphQL,527.156,222,200
4,libp2p,go-libp2p,REST,694.15,6195,200
4,python,cpython,GraphQL,465.58,231,200
4,python,cpython,REST,527.74,6080,200
5,facebook,react,REST,734.259,6035,200
5,facebook,react,GraphQL,425.607,249,200
5,vuejs,vue,REST,528.61,5949,200
5,vuejs,vue,GraphQL,384.084,274,200
5,microsoft,vscode,GraphQL,474.83,223,200
5,microsoft,vscode,REST,526.852,6517,200
5,torvalds,linux,GraphQL,352.67,215,200
5,torvalds,linux,REST,604.252,5079,200
5,tensorflow,tensorflow,REST,531.663,6822,200
5,tensorflow,tensorflow,GraphQL,525.138,254,200
5,twbs,bootstrap,REST,446.19,6205,200
5,twbs,bootstrap,GraphQL,404.061,312,200
5,ohmyzsh,ohmyzsh,GraphQL,425.369,544,200
5,ohmyzsh,ohmyzsh,REST,554.669,6661,200
5,angular,angular,REST,609.133,6473,200
5,angular,angular,GraphQL,356.508,241,200
5,golang,go,REST,491.825,6125,200
